[0, 85, 127],[0, 49, 118],[0, 49, 118],[0, 85, 127]
[0, 85, 127],[0, 49, 120],[0, 49, 120],[0, 85, 127]
[0, 85, 127],[0, 50, 123],[0, 50, 123],[0, 85, 127]
[0, 85, 127],[0, 51, 125],[0, 51, 125],[0, 85, 127]
[0, 85, 127],[0, 51, 128],[0, 51, 128],[0, 85, 127]
[0, 85, 127],[0, 51, 128],[0, 51, 128],[0, 85, 127]
[0, 83, 127],[0, 52, 127],[0, 52, 127],[0, 83, 127]
[0, 81, 127],[0, 53, 126],[0, 53, 126],[0, 81, 127]
[0, 78, 126],[0, 54, 125],[0, 54, 125],[0, 78, 126]
[0, 76, 125],[0, 55, 124],[0, 55, 124],[0, 76, 125]
[0, 74, 124],[0, 56, 123],[0, 56, 123],[0, 74, 124]
[0, 73, 123],[0, 57, 122],[0, 57, 122],[0, 73, 123]
[0, 71, 122],[0, 58, 121],[0, 58, 121],[0, 71, 122]
[0, 69, 121],[0, 58, 121],[0, 58, 121],[0, 69, 121]
[0, 67, 120],[0, 60, 119],[0, 60, 119],[0, 67, 120]
[0, 66, 119],[0, 61, 118],[0, 61, 118],[0, 66, 119]
[0, 64, 118],[0, 62, 117],[0, 62, 117],[0, 64, 118]
[0, 63, 116],[0, 63, 116],[0, 63, 116],[0, 63, 116]

