[0, 77, 136],[0, 44, 123],[0, 44, 123],[0, 77, 136]
[0, 77, 136],[0, 44, 125],[0, 44, 125],[0, 77, 136]
[0, 77, 136],[0, 45, 128],[0, 45, 128],[0, 77, 136]
[0, 77, 136],[0, 46, 130],[0, 46, 130],[0, 77, 136]
[0, 77, 136],[0, 47, 132],[0, 47, 132],[0, 77, 136]
[0, 77, 136],[0, 47, 132],[0, 47, 132],[0, 77, 136]
[0, 75, 135],[0, 47, 132],[0, 47, 132],[0, 75, 135]
[0, 73, 134],[0, 48, 131],[0, 48, 131],[0, 73, 134]
[0, 71, 134],[0, 49, 130],[0, 49, 130],[0, 71, 134]
[0, 69, 133],[0, 50, 129],[0, 50, 129],[0, 69, 133]
[0, 67, 132],[0, 50, 129],[0, 50, 129],[0, 67, 132]
[0, 65, 131],[0, 51, 128],[0, 51, 128],[0, 65, 131]
[0, 64, 130],[0, 52, 127],[0, 52, 127],[0, 64, 130]
[0, 62, 128],[0, 53, 126],[0, 53, 126],[0, 62, 128]
[0, 60, 127],[0, 53, 126],[0, 53, 126],[0, 60, 127]
[0, 59, 126],[0, 54, 125],[0, 54, 125],[0, 59, 126]
[0, 57, 124],[0, 55, 124],[0, 55, 124],[0, 57, 124]
[0, 56, 123],[0, 56, 123],[0, 56, 123],[0, 56, 123]


